title,image,link,date,language,source
"Rachat de Twitter : Elon Musk et la Chine, des liaisons dangereuses pour la sécurité américaine ?",https://s.france24.com/media/display/1d76c18e-e34f-11ec-928e-005056bfb2b6/w:388/p:16x9/030622-musk-tesla-china-m.jpg,https://www.france24.com/fr/%C3%A9co-tech/20220603-rachat-de-twitter-elon-musk-et-la-chine-des-liaisons-dangereuses-pour-la-s%C3%A9curit%C3%A9-am%C3%A9ricaine,09/06/2022,fr,france24
"L'illectronisme, cette inégalité face au numérique que l'on aurait tort d'ignorer",https://s.france24.com/media/display/c19ab7f4-ddd5-11ec-859a-005056bfb2b6/w:388/p:16x9/capture-13101384836290f4fca0a7b4.92684769.jpg,https://www.france24.com/fr/%C3%A9missions/tech-24/20220527-l-illectronisme-cette-in%C3%A9galit%C3%A9-face-au-num%C3%A9rique-que-l-on-aurait-tort-d-ignorer,09/06/2022,fr,france24
"Pour sauver la planète ""il faut rester actif, pas optimiste""",https://s.france24.com/media/display/9dd8a028-e7ef-11ec-9553-005056bf30b7/w:388/p:16x9/FR_20220608_200908_201456_CS.jpg,https://www.france24.com/fr/vid%C3%A9o/20220609-pour-sauver-la-plan%C3%A8te-il-faut-rester-actif-pas-optimiste,09/06/2022,fr,france24
Vendre dans le nouveau monde du travail,https://s.france24.com/media/display/c2447bc2-d81c-11ec-bc27-005056bfb2b6/w:388/p:16x9/BR%201_Photo.jpg,https://www.france24.com/fr/contenus-partenaires/20220523-vendre-dans-le-nouveau-monde-du-travail,09/06/2022,fr,france24
"Accounts of interrogations, strip-searches emerge from Russian ‘filtration’ camps in Ukraine",https://s.france24.com/media/display/d974febe-e7f0-11ec-b5e4-005056bfb2b6/w:388/p:16x9/AP22126707784008.jpg,https://www.france24.com/en/europe/20220609-accounts-of-interrogations-strip-searches-emerge-in-russian-filtration-camps-in-ukraine,09/06/2022,en,france24
Paris police chief admits ‘failure’ after Champions League fiasco,https://s.france24.com/media/display/ac02122a-e7d0-11ec-a7b1-005056bf30b7/w:388/p:16x9/000_32C69T3.jpg,https://www.france24.com/en/europe/20220609-paris-police-chief-admits-failure-after-champions-league-fiasco,09/06/2022,en,france24
Live: Donetsk court issues death sentences to captured foreign fighters,https://s.france24.com/media/display/33eb5db0-e6fd-11ec-97ab-005056bfb2b6/w:388/p:16x9/black-sea.jpg,https://www.france24.com/en/europe/20220609-live-zelensky-ties-fate-of-donbas-to-battle-for-severodonetsk,09/06/2022,en,france24
Macron calls for strong parliament majority to avoid 'French disorder',https://s.france24.com/media/display/3dab4ff8-e7ee-11ec-ba4b-005056a9a7b9/w:388/p:16x9/000_32C74EA.jpg,https://www.france24.com/en/europe/20220609-macron-calls-for-strong-parliament-majority-to-avoid-french-disorder,09/06/2022,en,france24
EU Parliament approves ban on new fossil-fuel cars from 2035,https://s.france24.com/media/display/9928a0f4-e796-11ec-bd0c-005056a97e36/w:388/p:16x9/2022-06-08T164053Z_790696574_RC2RNU95PT9C_RTRMADP_3_CLIMATE-CHANGE-EU-AUTOS.JPG,https://www.france24.com/en/europe/20220609-eu-parliament-approves-ban-on-new-fossil-fueled-cars-by-2035,09/06/2022,en,france24
'Filled with garbage': Kathmandu chokes as trash piles up,https://s.france24.com/media/display/97c34cf2-e807-11ec-83b1-005056bf30b7/w:388/p:16x9/2022-06-09T084209Z_1_LWD366609062022RP1_RTRWNEV_C_3666-NEPAL-GARBAGE.MP4.00_00_12_08.Still002.jpg,https://www.france24.com/en/video/20220609-filled-with-garbage-kathmandu-chokes-as-trash-piles-up,09/06/2022,en,france24
"‘Macron is right’ to want to avoid humiliating Russia, Le Pen and Mélenchon say",https://s.france24.com/media/display/0306d6a2-8834-11ec-8832-005056bf30b7/w:388/p:16x9/000_9YM6VE.jpg,https://www.france24.com/en/europe/20220609-macron-is-right-to-want-to-avoid-humiliating-russia-le-pen-and-m%C3%A9lenchon-say,09/06/2022,en,france24
"As France returns to the polls, can Mélenchon’s left deprive Macron of a majority?",https://s.france24.com/media/display/9b6e95e2-e71b-11ec-9a98-005056bfb2b6/w:246/p:16x9/meluche-affiche.jpg,https://www.france24.com/en/france/20220608-as-france-returns-to-the-polls-can-m%C3%A9lenchon-s-left-deprive-macron-of-a-majority,09/06/2022,en,france24
France votes again: What's at stake in the legislative elections?,https://s.france24.com/media/display/0a7f94c0-e723-11ec-a1b6-005056bf30b7/w:246/p:16x9/EN%20NEWS%2008_06_2022%2011_59_30.Sub.01.jpg,https://www.france24.com/en/tv-shows/french-connections/20220608-france-votes-again-what-s-at-stake-in-the-legislative-elections,09/06/2022,en,france24
Paris shooting thrusts police violence into the spotlight as French legislative elections loom,https://s.france24.com/media/display/41917efc-e65f-11ec-b29d-005056a97e36/w:246/p:16x9/France%20police.jpg,https://www.france24.com/en/europe/20220607-paris-shooting-thrusts-police-violence-into-the-spotlight-as-french-legislative-elections-loom,09/06/2022,en,france24
Disney snubs French cinemas in streaming row,https://s.france24.com/media/display/8d04ad8e-e7ca-11ec-934d-005056bfb2b6/w:388/p:16x9/capture-166127097662a1a9279091a2.92257977.jpg,https://www.france24.com/en/france/20220609-disney-snubs-french-cinemas-in-streaming-row,09/06/2022,en,france24
Blatter tells Swiss court he struck 'gentlemen's agreement' with Platini,https://s.france24.com/media/display/829698de-e7ee-11ec-90bf-005056a9a7b9/w:388/p:16x9/000_32C44MF.jpg,https://www.france24.com/en/sport/20220609-platini-was-worth-a-million-francs-a-year-blatter-tells-swiss-court,09/06/2022,en,france24
Uvalde survivor tells Congress she covered herself in blood to save her life,https://s.france24.com/media/display/5acbc408-e791-11ec-9f4b-005056a97e36/w:388/p:16x9/2022-06-08T154446Z_31024723_RC2QNU9U3P4B_RTRMADP_3_USA-GUNS.JPG,https://www.france24.com/en/americas/20220609-uvalde-fourth-grader-tells-congress-she-played-dead-to-save-her-life,09/06/2022,en,france24
"Shipping movement continues in the Black Sea despite Ukraine war, sanctions",https://s.france24.com/media/display/9b9b170e-e4d5-11ec-9b52-005056a9a7b9/w:388/p:16x9/000_32BT7JM.jpg,https://www.france24.com/en/europe/20220605-maritime-trade-continues-in-the-black-sea-despite-ukraine-war-sanctions,09/06/2022,en,france24
Russian speakers reject the 'language of the enemy' by learning Ukrainian,https://s.france24.com/media/display/88859d76-df5b-11ec-b183-005056bfb2b6/w:246/p:16x9/IMG_2364.JPG,https://www.france24.com/en/europe/20220530-russian-speakers-in-ukraine-reject-the-language-of-the-enemy-by-learning-ukrainian,09/06/2022,en,france24
Population decline in Russia: ‘Putin has no choice but to win’ in Ukraine,https://s.france24.com/media/display/19323bc2-d8ea-11ec-8827-005056bfb2b6/w:246/p:16x9/000_1H835Q.jpg,https://www.france24.com/en/europe/20220524-population-decline-in-russia-putin-has-no-other-choice-but-to-win-in-ukraine,09/06/2022,en,france24
"After Queen Elizabeth, what future for the Commonwealth?",https://s.france24.com/media/display/c6dcb936-e354-11ec-9f97-005056bf30b7/w:246/p:16x9/2022-05-23T112538Z_1009946246_RC2YCU9SLBVK_RTRMADP_3_BRITAIN-ROYALS-PLATINUM-JUBILEE-COMMONWEALTH.JPG,https://www.france24.com/en/uk/20220604-after-queen-elizabeth-what-does-the-future-hold-for-the-commonwealth,09/06/2022,en,france24
Biden lays out Latin America economic plan at summit marred by no-shows,https://s.france24.com/media/display/8d12d09e-e79d-11ec-9773-005056bf30b7/w:388/p:16x9/2022-06-09T020836Z_1231706425_RC22OU9CI6O5_RTRMADP_3_AMERICAS-SUMMIT.JPG,https://www.france24.com/en/americas/20220609-biden-lays-out-latin-america-economic-plan-at-summit-marred-by-no-shows,09/06/2022,en,france24
‘This is not a game’: US girds for primetime hearings on January 6 attack,https://s.france24.com/media/display/dd7e38ee-6c5e-11ec-9bde-005056bfb2b6/w:388/p:16x9/063_1230457865.jpg,https://www.france24.com/en/americas/20220608-this-is-not-a-game-us-girds-for-primetime-hearings-on-jan-6-attack,09/06/2022,en,france24
